云南移动IPTV,#genre#
江西卫视,http://39.130.206.132:6410/gitv_live/JXWS/JXWS.m3u8
吉林卫视,http://39.130.206.132:6410/gitv_live/G_JILIN/G_JILIN.m3u8
山西卫视,http://39.130.206.132:6410/gitv_live/SXWS/SXWS.m3u8
贵州卫视,http://39.130.206.132:6410/gitv_live/G_GUIZHOU/G_GUIZHOU.m3u8
青海卫视,http://39.130.206.132:6410/gitv_live/G_QINGHAI/G_QINGHAI.m3u8
内蒙古卫视,http://39.130.206.132:6410/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8
云南卫视,http://39.130.206.132:6410/gitv_live/G_YUNNAN/G_YUNNAN.m3u8
河北卫视,http://39.130.206.132:6410/gitv_live/G_HEBEI/G_HEBEI.m3u8
宁夏卫视,http://39.130.206.132:6410/gitv_live/G_NINGXIA/G_NINGXIA.m3u8
新疆卫视,http://39.130.206.132:6410/gitv_live/G_XINJIANG/G_XINJIANG.m3u8
甘肃卫视,http://39.130.206.132:6410/gitv_live/G_GANSU/G_GANSU.m3u8
西藏卫视,http://39.130.206.132:6410/gitv_live/G_XIZANG/G_XIZANG.m3u8
优漫卡通,http://39.130.206.132:6410/gitv_live/G_YOUMAN/G_YOUMAN.m3u8
兵团卫视,http://39.130.206.132:6410/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8
陕西卫视,http://39.130.206.132:6410/gitv_live/G_SHANXI/G_SHANXI.m3u8
南方卫视,http://39.130.206.132:6410/gitv_live/G_NANFANG/G_NANFANG.m3u8
东南卫视,http://39.130.206.132:6410/gitv_live/DNWS/DNWS.m3u8
延边卫视,http://39.130.206.132:6410/gitv_live/G_YANBIAN/G_YANBIAN.m3u8
嘉佳卡通,http://39.130.206.132:6410/gitv_live/G_JIAJIA/G_JIAJIA.m3u8
山东教育电视台,http://39.130.206.132:6410/gitv_live/G_SDETV/G_SDETV.m3u8
卡酷少儿,http://39.130.206.132:6410/gitv_live/G_KAKU/G_KAKU.m3u8
金鹰卡通,http://39.130.206.132:6410/gitv_live/G_JINYING/G_JINYING.m3u8
炫动卡通,http://39.130.206.132:6410/gitv_live/G_XUANDONG/G_XUANDONG.m3u8
CETV-1,http://39.130.206.132:6410/gitv_live/G_CETV-1/G_CETV-1.m3u8
